event,station,SW_max_amp
20141231002400,DR14,1.43E-10
20141231042541,DR14,3.73E-10
20141231042928,DR14,1.93E-10
20141231050823,DR14,1.75E-10
20141231054152,DR14,9.06E-10
20141231103404,DR14,1.59E-10
20141231113549,DR14,9.00E-11
20141231122533,DR14,1.97E-10
20141231155434,DR14,7.38E-10
20141231162531,DR14,1.05E-09
20141231164601,DR14,7.62E-10
20141231173655,DR14,2.48E-10
20141231183843,DR14,3.45E-10
20141231224019,DR14,1.24E-10
20150101010349,DR14,3.07E-10
20150101012154,DR14,1.64E-10
20150101024508,DR14,1.40E-10
20150101033829,DR14,1.82E-10
20150101042841,DR14,1.18E-10
20150101052224,DR14,8.69E-10
20150101110729,DR14,3.76E-10
20150101112044,DR14,3.76E-10
20150101115227,DR14,1.76E-10
20150101115353,DR14,2.91E-10
20150101130008,DR14,2.18E-10
20150101133349,DR14,2.00E-10
20150101135319,DR14,1.59E-10
20150101145547,DR14,1.52E-10
20150101145943,DR14,2.68E-10
20150101151229,DR14,4.11E-10
20150101151309,DR14,4.13E-10
20150101152844,DR14,5.02E-10
20150101154415,DR14,2.18E-10
20150101161541,DR14,1.32E-10
20150101165918,DR14,1.12E-09
20150101182251,DR14,7.45E-10
20150101182419,DR14,2.14E-10
20150101191053,DR14,1.44E-10
20150101191922,DR14,2.42E-10
20150101200759,DR14,2.13E-10
20150101211102,DR14,1.93E-10
20150101231840,DR14,1.30E-09
20150101233017,DR14,3.16E-10
20150102013146,DR14,2.51E-09
20150102095040,DR14,1.19E-10
20150102095852,DR14,1.55E-10
20150102103311,DR14,1.08E-09
20150102111513,DR14,1.70E-10
20150102113649,DR14,1.33E-10
20150102132154,DR14,5.41E-10
20150102132822,DR14,8.26E-09
20150102134505,DR14,2.90E-10
20150102141739,DR14,1.96E-10
20150102152637,DR14,3.58E-10
20150102152707,DR14,6.05E-10
20150102153847,DR14,1.90E-10
20150102171710,DR14,2.80E-10
20150102173345,DR14,1.04E-09
20150102175755,DR14,1.06E-09
20150102193318,DR14,3.73E-10
20150102210536,DR14,3.26E-10
20150102220223,DR14,2.84E-10
20150102233656,DR14,8.99E-10
20150103010447,DR14,1.05E-09
20150103023840,DR14,2.38E-10
20150103064113,DR14,2.11E-10
20150103075937,DR14,1.62E-10
20150103095007,DR14,2.02E-10
20150103095344,DR14,2.07E-10
20150103100217,DR14,3.83E-10
20150103102857,DR14,2.46E-10
20150103111006,DR14,3.82E-10
20150103115532,DR14,3.36E-10
20150103131249,DR14,1.53E-10
20150103133237,DR14,3.54E-09
20150103142410,DR14,2.47E-10
20150103145310,DR14,1.39E-10
20150103153326,DR14,3.29E-10
20150103153432,DR14,3.28E-10
20150103163213,DR14,1.43E-10
20150103164547,DR14,7.77E-10
20150103165001,DR14,6.59E-10
20150103172238,DR14,2.24E-10
20150103183024,DR14,2.22E-10
20150103192854,DR14,6.20E-10
20150103204337,DR14,3.70E-10
20150103211126,DR14,3.35E-10
20150103215342,DR14,1.49E-10
20150103230515,DR14,2.24E-10
20150104021408,DR14,7.13E-10
20150104022023,DR14,3.34E-10
20150104022032,DR14,3.08E-10
20150104081733,DR14,1.30E-10
20150104093740,DR14,5.64E-10
20150104112041,DR14,3.06E-10
20150104124900,DR14,7.61E-10
20150104130526,DR14,4.36E-09
20150104133602,DR14,5.57E-10
20150104141748,DR14,3.80E-10
20150104153326,DR14,6.18E-10
20150104180716,DR14,6.84E-10
20150104184905,DR14,2.13E-10
20150104215906,DR14,8.64E-11
20150104223848,DR14,3.23E-10
20150105061710,DR14,1.37E-09
20150105071610,DR14,1.59E-10
20150105080631,DR14,9.13E-10
20150105090347,DR14,2.57E-10
20150105093350,DR14,1.66E-10
20150105094652,DR14,6.00E-10
20150105104408,DR14,6.65E-10
20150105104418,DR14,2.13E-10
20150105104423,DR14,1.67E-10
20150105104435,DR14,3.47E-10
20150105113400,DR14,6.22E-09
20150105131159,DR14,3.60E-10
20150105135444,DR14,2.73E-10
20150105140110,DR14,1.45E-10
20150105141855,DR14,2.69E-10
20150105143332,DR14,1.71E-10
20150105154053,DR14,8.02E-09
20150105160234,DR14,8.04E-10
20150105165411,DR14,6.32E-10
20150105174911,DR14,5.84E-09
20150105183528,DR14,2.87E-10
20150105184112,DR14,3.51E-10
20150105195148,DR14,1.63E-10
20150105203536,DR14,9.85E-09
20150105231550,DR14,2.28E-10
20150106003952,DR14,4.02E-10
20150106011406,DR14,1.16E-10
20150106031825,DR14,1.19E-10
20150106042405,DR14,2.74E-10
20150106082853,DR14,1.86E-09
20150106084627,DR14,1.33E-10
20150106094736,DR14,1.50E-09
20150106104603,DR14,1.87E-10
20150106112439,DR14,1.85E-10
20150106122636,DR14,2.30E-10
20150106131050,DR14,1.69E-10
20150106131934,DR14,5.11E-10
20150106133056,DR14,7.21E-10
20150106134839,DR14,4.06E-10
20150106140931,DR14,5.62E-10
20150106142809,DR14,2.26E-09
